Type,Week,Zone,Date,MW
WN,30,N,20210715134500,29720
WN,31,N,20210715134500,30120
WN,32,N,20210715134500,30200
WN,33,N,20210715134500,30500
WN,34,N,20210715134500,31160
WN,35,N,20210715134500,31460
WN,36,N,20210715134500,32530
WN,37,N,20210715134500,33270
WN,38,N,20210715134500,33950
WN,39,N,20210715134500,34810
WN,40,N,20210715134500,36110
WN,41,N,20210715134500,37010
WN,42,N,20210715134500,36550
WN,43,N,20210715134500,37012
WN,44,N,20210715134500,41882
WN,45,N,20210715134500,42864
WN,46,N,20210715134500,43649
WN,47,N,20210715134500,44500
WN,48,N,20210715134500,44735
WN,49,N,20210715134500,45267
WN,50,N,20210715134500,45651
WN,51,N,20210715134500,45716
WN,52,N,20210715134500,39283
WN,1,N,20210715134500,45593
WN,2,N,20210715134500,45238
WN,3,N,20210715134500,45069
WN,4,N,20210715134500,44990
WN,5,N,20210715134500,44730
WN,6,N,20210715134500,44011
WN,7,N,20210715134500,43302
WN,8,N,20210715134500,42837
WN,9,N,20210715134500,42351
WN,10,N,20210715134500,41240
WN,11,N,20210715134500,40243
WN,12,N,20210715134500,39802
WN,13,N,20210715134500,36778
WN,14,N,20210715134500,35443
WN,15,N,20210715134500,34233
WN,16,N,20210715134500,33529
WN,17,N,20210715134500,33060
WN,18,N,20210715134500,32432
WN,19,N,20210715134500,31971
WN,20,N,20210715134500,31652
WN,21,N,20210715134500,30910
WN,22,N,20210715134500,29853
WN,23,N,20210715134500,30478
WN,24,N,20210715134500,30395
WN,25,N,20210715134500,30059
WN,26,N,20210715134500,30017
WN,27,N,20210715134500,30035
WN,28,N,20210715134500,30037
WT,30,N,20210715134500,30220
WT,31,N,20210715134500,30620
WT,32,N,20210715134500,30700
WT,33,N,20210715134500,31000
WT,34,N,20210715134500,31660
WT,35,N,20210715134500,31960
WT,36,N,20210715134500,33030
WT,37,N,20210715134500,33770
WT,38,N,20210715134500,34450
WT,39,N,20210715134500,35310
WT,40,N,20210715134500,36610
WT,41,N,20210715134500,37510
WT,42,N,20210715134500,37050
WT,43,N,20210715134500,37512
WT,44,N,20210715134500,42382
WT,45,N,20210715134500,43364
WT,46,N,20210715134500,44149
WT,47,N,20210715134500,45000
WT,48,N,20210715134500,45235
WT,49,N,20210715134500,45767
WT,50,N,20210715134500,46151
WT,51,N,20210715134500,46216
WT,52,N,20210715134500,39783
WT,1,N,20210715134500,46093
WT,2,N,20210715134500,45738
WT,3,N,20210715134500,45569
WT,4,N,20210715134500,45490
WT,5,N,20210715134500,45230
WT,6,N,20210715134500,44511
WT,7,N,20210715134500,43802
WT,8,N,20210715134500,43337
WT,9,N,20210715134500,42851
WT,10,N,20210715134500,41740
WT,11,N,20210715134500,40743
WT,12,N,20210715134500,40302
WT,13,N,20210715134500,37278
WT,14,N,20210715134500,35943
WT,15,N,20210715134500,34733
WT,16,N,20210715134500,34029
WT,17,N,20210715134500,33560
WT,18,N,20210715134500,32932
WT,19,N,20210715134500,32471
WT,20,N,20210715134500,32152
WT,21,N,20210715134500,31410
WT,22,N,20210715134500,30353
WT,23,N,20210715134500,30978
WT,24,N,20210715134500,30895
WT,25,N,20210715134500,30559
WT,26,N,20210715134500,30517
WT,27,N,20210715134500,30535
WT,28,N,20210715134500,30537
WM,31,N,20210721091100,6458
WM,32,N,20210721091100,9682
WM,33,N,20210721091100,8897
WM,34,N,20210721091100,5437
WM,35,N,20210721091100,10896
WM,36,N,20210721091100,10367
WM,37,N,20210721091100,11467
WM,38,N,20210721091100,13986
WM,39,N,20210721091100,12232
WM,40,N,20210721091100,13210
WM,41,N,20210721091100,9132
WM,42,N,20210721091100,12481
WM,43,N,20210721091100,11473
WM,44,N,20210721091100,8830
WM,45,N,20210721091100,8632
WM,46,N,20210721091100,8043
WM,47,N,20210721091100,5466
WM,48,N,20210721091100,5802
WM,49,N,20210721091100,9296
WM,50,N,20210721091100,7218
WM,51,N,20210721091100,7409
WM,52,N,20210721091100,13469
WM,1,N,20210721091100,6821
WM,2,N,20210721091100,6478
WM,3,N,20210721091100,6782
WM,4,N,20210721091100,5850
WM,5,N,20210721091100,9824
WM,6,N,20210721091100,9292
WM,7,N,20210721091100,8960
WM,8,N,20210721091100,10455
WM,9,N,20210721091100,9295
WM,10,N,20210721091100,7629
WM,11,N,20210721091100,9341
WM,12,N,20210721091100,9574
WM,13,N,20210721091100,10369
WM,14,N,20210721091100,8393
WM,15,N,20210721091100,10168
WM,16,N,20210721091100,10087
WM,17,N,20210721091100,12894
WM,18,N,20210721091100,13734
WM,19,N,20210721091100,10883
WM,20,N,20210721091100,14878
WM,21,N,20210721091100,18408
WM,22,N,20210721091100,15658
WM,23,N,20210721091100,17480
WM,24,N,20210721091100,14015
WM,25,N,20210721091100,12930
WM,26,N,20210721091100,13727
WM,27,N,20210721091100,10733
WM,28,N,20210721091100,9643
WM,29,N,20210721091100,12705
OCNMFW2,31,N,20210721091000,10511
OCNMFW2,32,N,20210721091000,13733
OCNMFW2,33,N,20210721091000,13190
OCNMFW2,34,N,20210721091000,9312
OCNMFW2,35,N,20210721091000,14762
OCNMFW2,36,N,20210721091000,14204
OCNMFW2,37,N,20210721091000,15284
OCNMFW2,38,N,20210721091000,17784
OCNMFW2,39,N,20210721091000,16007
OCNMFW2,40,N,20210721091000,16949
OCNMFW2,41,N,20210721091000,12846
OCNMFW2,42,N,20210721091000,16321
OCNMFW2,43,N,20210721091000,15123
OCNMFW2,44,N,20210721091000,12413
OCNMFW2,45,N,20210721091000,12188
OCNMFW2,46,N,20210721091000,11578
OCNMFW2,47,N,20210721091000,9227
OCNMFW2,48,N,20210721091000,9307
OCNMFW2,49,N,20210721091000,12786
OCNMFW2,50,N,20210721091000,10698
OCNMFW2,51,N,20210721091000,11137
OCNMFW2,52,N,20210721091000,17312
OCNMFW2,1,N,20210721091000,10302
OCNMFW2,2,N,20210721091000,10219
OCNMFW2,3,N,20210721091000,10278
OCNMFW2,4,N,20210721091000,9598
OCNMFW2,5,N,20210721091000,13579
OCNMFW2,6,N,20210721091000,12817
OCNMFW2,7,N,20210721091000,12754
OCNMFW2,8,N,20210721091000,14319
OCNMFW2,9,N,20210721091000,12865
OCNMFW2,10,N,20210721091000,11480
OCNMFW2,11,N,20210721091000,13219
OCNMFW2,12,N,20210721091000,13614
OCNMFW2,13,N,20210721091000,13938
OCNMFW2,14,N,20210721091000,12004
OCNMFW2,15,N,20210721091000,13813
OCNMFW2,16,N,20210721091000,13756
OCNMFW2,17,N,20210721091000,16583
OCNMFW2,18,N,20210721091000,17446
OCNMFW2,19,N,20210721091000,14614
OCNMFW2,20,N,20210721091000,18627
OCNMFW2,21,N,20210721091000,22180
OCNMFW2,22,N,20210721091000,19758
OCNMFW2,23,N,20210721091000,21874
OCNMFW2,24,N,20210721091000,18411
OCNMFW2,25,N,20210721091000,17334
OCNMFW2,26,N,20210721091000,18132
OCNMFW2,27,N,20210721091000,14837
OCNMFW2,28,N,20210721091000,13745
OCNMFW2,29,N,20210721091000,16804
FTR,204
